,Akaki,Ankober,Ataye,Awadi,Awash Adaitu,Awash Awash,Awash Haledebi,Awash Kunture,Awash Terminal,Awash US_Koka,Awash-Arba US,Borkena,Cheleka_Gewis,Eastern Catchment-01,Kebena,Keleta-Werenso,Kesem,Logiya,Mile,Mojo,Najeso -Gera
1983_6,69.60979736763254,34.358741273223245,23.412316076517772,25.5147356596779,7.079610794991011,68.30744848275428,14.883443979808073,81.60510520559004,5.63759067915758,131.11606941496697,118.84529271347911,32.121285289873896,9.615894478482431,25.90902577825359,56.103333685353405,80.44887667937552,66.58466669696371,9.50625238994289,10.691831402642261,65.25576670271032,13.479462243899944
1983_7,202.56571938972047,187.63124482976642,164.46130361416783,224.66058463832567,43.327456941702096,214.65805191114893,160.59556100751962,181.55533026809624,26.29281945173044,173.96865949923014,233.23616870413048,147.59894895467812,68.01899894210919,98.062941276373,232.37958548636695,141.07233661955536,217.2004800886908,50.085783823043705,67.48020931581937,154.9684652550589,182.7445491701082
1983_8,285.78415264181797,278.38741116396324,156.40343416346428,311.6420804450318,44.73451281691806,180.8338379313583,125.119759246517,206.1961063102785,30.55520058439736,300.3891940857195,158.326047794806,193.25408486446705,80.81410189153827,125.5254743973047,358.186675698961,143.14443460421649,249.94381671290904,67.09566986930889,97.61105181628166,255.9708964102916,183.5340305707618
1983_9,125.37796138793988,42.91142577069098,32.229989075891645,24.4140615155601,46.86701230799906,106.69400937294185,26.132010010835256,125.56757730250307,8.893193713556515,111.63771070151911,103.5800863666403,44.92097938518289,30.11677741040491,48.84663121554974,90.84300292127944,125.36784736115737,90.47082206601301,41.19114220551064,59.19290877462183,85.67745980135895,23.69823294023241
1983_10,10.264627413954893,38.589269008810916,63.20532868435848,32.94628386799188,15.665665970701614,40.455116939363414,28.518102674034953,17.047610070125927,0.6477059337548481,19.930369630601596,57.596093096896205,48.10484816116521,39.83572631971744,22.896473289599655,31.80616011548877,37.7078387988897,24.614163014965126,21.92705930908632,29.278440142700344,13.131027151256575,48.15512885555059
1983_11,0.0,0.5190134962798617,0.000897268642506093,0.4424952081170066,3.600512405203044,5.655717635913679,0.7609033717867918,1.1203108891010272,0.5200810555938868,0.11952262871485218,3.9839269582676313,3.227412730935067,3.256375846307677,2.421537575033408,0.4574649512130701,8.89820138228909,2.178631915577451,23.83364151712607,22.566348414963233,0.0,0.4805152591797335
1983_12,0.041157077444690944,0.15104753071300203,0.0,0.0,0.043764112129904574,1.0867285875387542,0.12733934793460147,0.17223692698191337,0.0,0.029980011964377294,0.0,0.14604545689342943,0.003154078151694604,0.019592298459526012,0.4593905008429292,0.11432200755863309,1.2519713551581302,0.11922270017931685,0.16411023148039047,0.002560884302246741,0.0
1984_1,0.006635347654799836,0.0,0.1049821209557282,0.007380704940879237,0.11989110227579393,0.4611391494721556,0.5882828907419376,0.0587677943698755,0.04949312875898457,0.012647347985573498,0.6589323035044953,0.06281588919541053,0.0,0.134737336726451,0.02550673432215618,0.9125725063649464,0.031583891231249564,0.1426163466558757,0.09359631960773447,0.0,0.050779670170446725
1984_2,0.6189579680644743,2.263459118943358,0.019460048925479673,12.205929190182408,0.1653146434988162,4.157869095620844,1.288648678780788,0.922117549935918,0.32993472752475894,0.14518433309945988,1.9561413209152805,6.122494240692667,1.8587453500791977,1.793763844832238,0.9987518774988574,3.415565034323323,4.1453427325335594,0.4341953174335404,0.24638123063359854,0.016473595962198148,5.75722843099481
1984_3,11.002305085350404,40.0455066343694,2.7961968234409436,19.10411943127397,4.086686471733941,6.988858963135287,8.790286231861105,13.806978754819017,0.3511755168313574,12.702502826273275,1.2304084631494463,25.329470119367613,11.742488186661626,4.479557538068211,34.716881126455434,5.337548911517125,9.748493594094601,6.092320700034867,12.47146745085852,7.256213236343631,5.441333975566293
1984_4,1.6983148504095085,5.191692686372805,33.720879908484804,20.73915605234659,13.87843213068798,7.125917173184315,11.194982535067028,2.1566705322291413,0.31192977287138285,0.7346115423222661,7.448207798602972,40.27051509562044,14.632165144252902,12.834566353647467,3.3593057912396067,6.027882260431661,0.9814041927136228,5.072560985586018,19.037986592217127,0.0,24.450057363572455
1984_5,102.95168180357604,155.02073583342636,101.23179129942174,254.7268621104043,54.34211727129413,135.4582421139653,116.17959448559493,110.60986356928623,23.43503810547673,97.6966474501173,122.76341003338668,133.88407047149548,102.30740281283737,91.10673355886541,152.87585793231037,182.056420842581,89.56785914726676,89.04914676056602,103.78761745807323,92.45028290651544,142.94613414509877
